keywords,time,resolution,geo_name,geo_code,value
face mist||moisturizer,today 12-m,REGION,Idaho,US-ID,4|96
face mist||moisturizer,today 12-m,REGION,Minnesota,US-MN,4|96
face mist||moisturizer,today 12-m,REGION,Alabama,US-AL,3|97
face mist||moisturizer,today 12-m,REGION,Oregon,US-OR,3|97
face mist||moisturizer,today 12-m,REGION,North Carolina,US-NC,3|97
face mist||moisturizer,today 12-m,REGION,Missouri,US-MO,4|96
face mist||moisturizer,today 12-m,REGION,Pennsylvania,US-PA,3|97
face mist||moisturizer,today 12-m,REGION,Louisiana,US-LA,3|97
face mist||moisturizer,today 12-m,REGION,Oklahoma,US-OK,3|97
face mist||moisturizer,today 12-m,REGION,Rhode Island,US-RI,3|97
face mist||moisturizer,today 12-m,REGION,Alaska,US-AK,4|96
face mist||moisturizer,today 12-m,REGION,Kentucky,US-KY,4|96
face mist||moisturizer,today 12-m,REGION,Kansas,US-KS,3|97
face mist||moisturizer,today 12-m,REGION,Wisconsin,US-WI,3|97
face mist||moisturizer,today 12-m,REGION,Ohio,US-OH,4|96
face mist||moisturizer,today 12-m,REGION,South Dakota,US-SD,4|96
face mist||moisturizer,today 12-m,REGION,New Hampshire,US-NH,4|96
face mist||moisturizer,today 12-m,REGION,Mississippi,US-MS,3|97
face mist||moisturizer,today 12-m,REGION,South Carolina,US-SC,3|97
face mist||moisturizer,today 12-m,REGION,Arkansas,US-AR,3|97
face mist||moisturizer,today 12-m,REGION,Michigan,US-MI,3|97
face mist||moisturizer,today 12-m,REGION,Iowa,US-IA,3|97
face mist||moisturizer,today 12-m,REGION,Indiana,US-IN,3|97
face mist||moisturizer,today 12-m,REGION,North Dakota,US-ND,3|97
face mist||moisturizer,today 12-m,REGION,Vermont,US-VT,3|97
face mist||moisturizer,today 12-m,REGION,New Mexico,US-NM,3|97
face mist||moisturizer,today 12-m,REGION,West Virginia,US-WV,4|96
face mist||moisturizer,today 12-m,REGION,Maine,US-ME,3|97
face mist||moisturizer,today 12-m,REGION,Montana,US-MT,3|97
face mist||moisturizer,today 12-m,DMA,Cheyenne WY-Scottsbluff NE,759,5|95
face mist||moisturizer,today 12-m,DMA,Miami-Ft. Lauderdale FL,528,4|96
face mist||moisturizer,today 12-m,DMA,Wichita Falls TX & Lawton OK,627,7|93
face mist||moisturizer,today 12-m,DMA,San Francisco-Oakland-San Jose CA,807,3|97
face mist||moisturizer,today 12-m,DMA,New York NY,501,3|97
face mist||moisturizer,today 12-m,DMA,Baton Rouge LA,716,4|96
face mist||moisturizer,today 12-m,DMA,San Diego CA,825,4|96
face mist||moisturizer,today 12-m,DMA,"Billings, MT",756,6|94
face mist||moisturizer,today 12-m,DMA,Jackson TN,639,6|94
face mist||moisturizer,today 12-m,DMA,Charlotte NC,517,4|96
face mist||moisturizer,today 12-m,DMA,Seattle-Tacoma WA,819,4|96
face mist||moisturizer,today 12-m,DMA,Gainesville FL,592,4|96
face mist||moisturizer,today 12-m,DMA,San Angelo TX,661,5|95
face mist||moisturizer,today 12-m,DMA,Atlanta GA,524,3|97
face mist||moisturizer,today 12-m,DMA,Syracuse NY,555,5|95
face mist||moisturizer,today 12-m,DMA,Los Angeles CA,803,3|97
face mist||moisturizer,today 12-m,DMA,Washington DC (Hagerstown MD),511,3|97
face mist||moisturizer,today 12-m,DMA,Dallas-Ft. Worth TX,623,3|97
face mist||moisturizer,today 12-m,DMA,Boise ID,757,5|95
face mist||moisturizer,today 12-m,DMA,Nashville TN,659,4|96
face mist||moisturizer,today 12-m,DMA,Las Vegas NV,839,3|97
face mist||moisturizer,today 12-m,DMA,Salt Lake City UT,770,4|96
face mist||moisturizer,today 12-m,DMA,Phoenix AZ,753,3|97
face mist||moisturizer,today 12-m,DMA,Baltimore MD,512,3|97
face mist||moisturizer,today 12-m,DMA,Denver CO,751,4|96
face mist||moisturizer,today 12-m,DMA,Ft. Myers-Naples FL,571,4|96
face mist||moisturizer,today 12-m,DMA,Chicago IL,602,3|97
face mist||moisturizer,today 12-m,DMA,Lubbock TX,651,4|96
face mist||moisturizer,today 12-m,DMA,Orlando-Daytona Beach-Melbourne FL,534,3|97
face mist||moisturizer,today 12-m,DMA,Rochester NY,538,5|95
face mist||moisturizer,today 12-m,DMA,Houston TX,618,3|97
face mist||moisturizer,today 12-m,DMA,Sacramento-Stockton-Modesto CA,862,3|97
face mist||moisturizer,today 12-m,DMA,Portland OR,820,4|96
face mist||moisturizer,today 12-m,DMA,Kansas City MO,616,3|97
face mist||moisturizer,today 12-m,DMA,San Antonio TX,641,4|96
face mist||moisturizer,today 12-m,DMA,Austin TX,635,3|97
face mist||moisturizer,today 12-m,DMA,Philadelphia PA,504,3|97
face mist||moisturizer,today 12-m,DMA,West Palm Beach-Ft. Pierce FL,548,3|97
face mist||moisturizer,today 12-m,DMA,Birmingham AL,630,3|97
face mist||moisturizer,today 12-m,DMA,Boston MA-Manchester NH,506,3|97
face mist||moisturizer,today 12-m,DMA,Tri-Cities TN-VA,531,5|95
face mist||moisturizer,today 12-m,DMA,Honolulu HI,744,3|97
face mist||moisturizer,today 12-m,DMA,Davenport IA-Rock Island-Moline IL,682,5|95
face mist||moisturizer,today 12-m,DMA,Bakersfield CA,800,4|96
face mist||moisturizer,today 12-m,DMA,Jacksonville FL,561,3|97
face mist||moisturizer,today 12-m,DMA,Tampa-St. Petersburg (Sarasota) FL,539,3|97
face mist||moisturizer,today 12-m,DMA,Dothan AL,606,5|95
face mist||moisturizer,today 12-m,DMA,Charleston SC,519,4|96
face mist||moisturizer,today 12-m,DMA,Laredo TX,749,6|94
face mist||moisturizer,today 12-m,DMA,Cincinnati OH,515,4|96
face mist||moisturizer,today 12-m,DMA,St. Louis MO,609,4|96
face mist||moisturizer,today 12-m,DMA,Milwaukee WI,617,3|97
face mist||moisturizer,today 12-m,DMA,Hartford & New Haven CT,533,3|97
face mist||moisturizer,today 12-m,DMA,Rapid City SD,764,5|95
face mist||moisturizer,today 12-m,DMA,Pittsburgh PA,508,4|96
face mist||moisturizer,today 12-m,DMA,Omaha NE,652,3|97
face mist||moisturizer,today 12-m,DMA,Columbus OH,535,3|97
face mist||moisturizer,today 12-m,DMA,Mobile AL-Pensacola (Ft. Walton Beach) FL,686,4|96
face mist||moisturizer,today 12-m,DMA,Providence RI-New Bedford MA,521,3|97
face mist||moisturizer,today 12-m,DMA,Minneapolis-St. Paul MN,613,4|96
face mist||moisturizer,today 12-m,DMA,Johnstown-Altoona PA,574,4|96
face mist||moisturizer,today 12-m,DMA,Detroit MI,505,3|97
face mist||moisturizer,today 12-m,DMA,Oklahoma City OK,650,4|96
face mist||moisturizer,today 12-m,DMA,Des Moines-Ames IA,679,4|96
face mist||moisturizer,today 12-m,DMA,New Orleans LA,622,3|97
face mist||moisturizer,today 12-m,DMA,Fresno-Visalia CA,866,3|97
